files/4ds.odin:                                                                                   ASCII text
files/CIMI-CORE-ITEM_GROUP.ammonia_plasscnc.v1.0.0.odin:                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_cry_num_per_area_urns_hpf.v1.0.0.odin:                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_phos_cry_num_per_area_urns_hpf.v1.0.0.odin:                     UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_phos_cry_urns_ql_micro.v1.0.0.odin:                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_sed_urns_ql_micro.v1.0.0.odin:                                  UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_urate_cry_num_per_area_urns_hpf.v1.0.0.odin:                    UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amorph_urate_cry_urns_ql_micro.v1.0.0.odin:                            UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt.v1.0.0.odin:                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_post_by_etest.v1.0.0.odin:             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_post_by_kb.v1.0.0.odin:                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_post_by_mic.v1.0.0.odin:               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_post_by_slowmyco.v1.0.0.odin:          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_pre_by_etest.v1.0.0.odin:              UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_pre_by_kb.v1.0.0.odin:                 UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_pre_by_mic.v1.0.0.odin:                UTF-8 Unicode text, with very long lines
